Mã Bệnh,Tên Bệnh,Chuyên Khoa,Mô Tả,Nguyên Nhân,Triệu Chứng Phổ Biến,Phương Pháp Chẩn Đóan,Hướng Điều Trị
B001,Tăng huyết áp,Tim mạch,"Tăng huyết áp là tình trạng áp lực máu lên thành động mạch cao hơn mức bình thường, gây áp lực cho tim.","Di truyền, lối sống không lành mạnh, tuổi tác, béo phì.","Đau đầu, chóng mặt, khó thở, chảy máu cam, mệt mỏi.","Đo huyết áp, xét nghiệm máu, siêu âm tim.","Thay đổi lối sống, dùng thuốc hạ áp."
B002,Đái tháo đường tuýp 2,Nội tiết,"Là bệnh rối loạn chuyển hóa cacbohydrat khi insulin của tụy bị giảm tác dụng, kháng insulin.","Di truyền, béo phì, ít vận động, chế độ ăn uống không hợp lý.","Khát nước nhiều, đi tiểu nhiều, sụt cân không rõ nguyên nhân, mờ mắt.","Xét nghiệm đường huyết lúc đói, HbA1c.","Dùng thuốc, thay đổi chế độ ăn, tập thể dục."
B003,Viêm dạ dày,Tiêu hóa,"Là tình trạng niêm mạc dạ dày bị viêm, tổn thương.","Nhiễm khuẩn HP, sử dụng thuốc chống viêm không steroid (NSAID), stress.","Đau thượng vị, ợ hơi, ợ chua, buồn nôn, ăn không tiêu.","Nội soi dạ dày, xét nghiệm HP.","Thuốc kháng acid, thuốc ức chế bơm proton, kháng sinh (nếu có HP)."
B004,Hen phế quản,Hô hấp,"Là bệnh viêm mạn tính đường thở, gây co thắt phế quản và khó thở.","Di truyền, dị ứng (phấn hoa, bụi nhà), ô nhiễm không khí.","Khò khè, khó thở, nặng ngực, ho (đặc biệt về đêm và sáng sớm).","Đo chức năng hô hấp, test dị ứng.","Thuốc giãn phế quản, thuốc corticoid dạng hít."
B005,Viêm da cơ địa (Chàm),Da liễu,"Là bệnh da mạn tính, tái phát, đặc trưng bởi các mảng da khô, ngứa và viêm.","Di truyền, hệ miễn dịch phản ứng quá mức, hàng rào bảo vệ da yếu.","Da khô, ngứa dữ dội, mẩn đỏ, có thể có mụn nước.","Khám da liễu, tiền sử bệnh.","Dưỡng ẩm, thuốc bôi corticoid, thuốc kháng histamin."
B006,Trào ngược dạ dày thực quản (GERD),Tiêu hóa,"Là tình trạng acid từ dạ dày trào ngược lên thực quản, gây kích ứng.","Cơ thắt thực quản dưới yếu, thoát vị hoành, béo phì.","Ợ nóng, ợ chua, đau ngực, khó nuốt, ho khan.","Nội soi, đo pH thực quản 24 giờ.","Thuốc kháng acid, thay đổi lối sống, phẫu thuật (hiếm)."
B007,Thoái hóa khớp gối,Cơ xương khớp,"Là tình trạng sụn khớp gối bị mòn, gây đau và cứng khớp.","Tuổi tác, thừa cân, chấn thương cũ, di truyền.","Đau khớp gối khi vận động, cứng khớp buổi sáng, nghe tiếng lạo xạo trong khớp.","Chụp X-quang, MRI.","Giảm đau, vật lý trị liệu, tiêm nội khớp, thay khớp gối."
B008,Viêm xoang mạn tính,Tai mũi họng,"Là tình trạng viêm và sưng các hốc xoang kéo dài trên 12 tuần.","Nhiễm trùng, polyp mũi, lệch vách ngăn mũi, dị ứng.","Nghẹt mũi, chảy nước mũi đặc, đau nhức vùng mặt, giảm khứu giác.","Nội soi mũi xoang, CT scan.","Thuốc xịt mũi, kháng sinh, phẫu thuật nội soi xoang."
B009,Rối loạn lo âu lan tỏa,Tâm thần,"Là tình trạng lo lắng và căng thẳng quá mức, kéo dài về nhiều vấn đề trong cuộc sống.","Yếu tố sinh học (chất dẫn truyền thần kinh), di truyền, trải nghiệm sống.","Lo lắng không kiểm soát, bồn chồn, mệt mỏi, khó tập trung, mất ngủ.","Đánh giá tâm lý, loại trừ các bệnh lý khác.","Tâm lý trị liệu, thuốc chống trầm cảm."
B010,Thiếu máu thiếu sắt,Huyết học,"Là tình trạng cơ thể không có đủ sắt để tạo hemoglobin, dẫn đến thiếu hồng cầu.","Chế độ ăn thiếu sắt, mất máu (kinh nguyệt nhiều, loét dạ dày), mang thai.","Mệt mỏi, da xanh xao, khó thở khi gắng sức, chóng mặt, rụng tóc.","Xét nghiệm công thức máu, nồng độ sắt huyết thanh.","Bổ sung sắt (dạng uống hoặc tiêm)."
